,date,overall_balance,current_balance,current_goods_balance,export_goods,import_goods,services_balance,export_services,import_services
0,1986-01-01,33.9,-545.4,-1044.3,11497.6,12541.9,526.2,2428.3,1902.1
1,1986-04-01,508.0,792.7,-7.6,12398.5,12406.1,880.0,2925.7,2045.7
2,1986-07-01,206.6,351.1,-442.9,12404.7,12847.6,872.6,2963.1,2090.5
3,1986-10-01,460.1,134.5,-554.2,13132.4,13686.6,847.9,3069.8,2221.9
4,1987-01-01,201.7,-659.2,-1041.1,12591.4,13632.5,698.9,2905.1,2206.2
5,1987-04-01,529.8,261.5,-315.0,14832.4,15147.4,978.4,3426.1,2447.7
6,1987-07-01,671.8,110.0,-403.7,16324.9,16728.6,918.2,3404.0,2485.8
7,1987-10-01,925.2,70.7,-650.1,17454.9,18105.0,1166.4,3763.9,2597.5
8,1988-01-01,1057.6,628.9,-117.6,17658.8,17776.4,1046.0,3774.7,2728.7
9,1988-04-01,486.0,909.3,-127.0,20093.2,20220.2,1341.7,4250.0,2908.3
10,1988-07-01,92.5,953.5,-207.2,21265.1,21472.3,1402.1,4376.8,2974.7
11,1988-10-01,1707.5,1426.3,432.2,22819.0,22386.8,1338.5,4459.4,3120.9
12,1989-01-01,884.8,582.5,-759.4,19587.4,20346.8,1545.6,4659.0,3113.4
13,1989-04-01,1500.4,646.1,-522.4,22074.4,22596.8,1606.6,5024.0,3417.4
14,1989-07-01,1727.4,2108.6,96.8,23037.8,22941.0,2082.2,5412.8,3330.6
15,1989-10-01,1221.6,2471.2,494.8,24346.4,23851.6,2211.2,5781.7,3570.5
16,1990-01-01,2112.8,-9.9,-1145.3,23327.1,24472.4,2015.7,5921.3,3905.6
17,1990-04-01,2401.0,1128.4,-1232.3,23242.2,24474.5,2492.2,6370.1,3877.9
18,1990-07-01,3694.8,2300.2,-160.2,24546.6,24706.8,2687.4,6591.2,3903.8
19,1990-10-01,1683.9,2277.0,-499.5,27912.6,28412.1,2928.5,6996.0,4067.5
20,1991-01-01,497.3,37.2,-978.4,26273.4,27251.8,2160.1,6143.3,3983.2
21,1991-04-01,2276.7,2104.9,-64.2,26591.6,26655.8,2659.7,6563.1,3903.4
22,1991-07-01,2497.7,2595.6,176.1,27043.5,26867.4,2651.6,6668.8,4017.2
23,1991-10-01,1991.1,3681.9,597.6,25968.4,25370.8,3168.6,7128.8,3960.2
24,1992-01-01,1774.2,3567.9,-389.9,25075.2,25465.1,3245.3,6636.6,3391.3
25,1992-04-01,3685.5,2596.5,-985.5,25927.1,26912.6,3169.3,6914.2,3744.9
26,1992-07-01,2354.2,3455.5,108.5,27809.7,27701.2,3507.6,7522.6,4015.0
27,1992-10-01,2145.1,-84.4,-1780.9,29539.8,31320.7,3434.6,7912.8,4478.2
28,1993-01-01,2258.5,1293.7,-1462.7,28535.0,29997.7,3162.4,7390.1,4227.7
29,1993-04-01,2888.9,784.7,-1532.9,31424.9,32957.8,3351.5,7985.3,4633.8
30,1993-07-01,3262.1,2487.7,-234.5,33041.5,33276.0,3785.9,8483.0,4697.1
31,1993-10-01,3744.2,2070.3,-1260.4,32711.7,33972.1,3870.3,8721.7,4851.4
32,1994-01-01,1750.7,863.0,-2136.8,30340.5,32477.3,3327.2,8157.8,4830.6
33,1994-04-01,1159.4,4202.9,570.9,38013.5,37442.6,3971.7,9313.4,5341.7
34,1994-07-01,3217.5,6172.7,1521.9,40251.5,38729.6,4796.9,10188.9,5392.0
35,1994-10-01,1174.1,5966.5,2011.5,40859.1,38847.6,4137.1,9934.9,5797.8
